space	chr	prev_start	prev_end	prev_checksum	start	end	checksum	type
query	chr1H	3599770	3636584	aa6fec6e957d3645b6e8d5a288d8ae71	3599878	3615822	13f098718f1f282a75284c662351c9ab	NESTED_IN_PREV
query	chr1H	3691636	3705387	6c74d238a768a88172bc8fc6d3bc9a6a	3694346	3701553	91f4b00222d1738e730e97a7b4b4929a	NESTED_IN_PREV
query	chr1H	3778684	3781530	e6bf0827126adf9473f1461756abb39c	3779009	3792416	3b7ebdea23090e44283cd200e37293e9	PARTIAL
query	chr1H	3834169	3914907	26e678d4e3904b48b1a5ed3276ce565a	3848099	3853934	c23e386812bbf1e1b2658625b5e04b5d	NESTED_IN_PREV
query	chr1H	3891656	3905925	32c85aa3ff16b34fe71b84814d5cfe84	3899325	3902559	08e240b0578d9a25ea425e6ff6c84702	NESTED_IN_PREV
query	chr1H	3899325	3902559	08e240b0578d9a25ea425e6ff6c84702	3902065	3906703	562a572ddff4f8e5caca4466363f5707	PARTIAL
query	chr1H	4049449	4070035	b28aebc944e9e98fe5fb5654bd7188a0	4054055	4274582	91f0a652a32098e846bb2811dc1244c5	PARTIAL
query	chr1H	4054055	4274582	91f0a652a32098e846bb2811dc1244c5	4070036	4071209	23a334f4d0d0daa09351e18b5d720f17	NESTED_IN_PREV
query	chr1H	4126397	4207095	a24af6cd15fd65c830408ff1d37f80d9	4168783	4174186	4d7eb09bac656b1238052fee7a099bf7	NESTED_IN_PREV
query	chr1H	4213462	4298977	93d9f0c546bfacc093de5104ffa49a17	4243520	4249079	d41a470fa0a49dfa41b89f5c18fc6a6e	NESTED_IN_PREV
query	chr1H	4302769	4305343	dda3a33cb14672ecc442dbee2e891329	4304725	4306565	ea149bd09038116aac2085e56f5326d4	PARTIAL
query	chr1H	4304725	4306565	ea149bd09038116aac2085e56f5326d4	4305344	4323351	385ae1e4a2813dae2fc72fac18e0a0ee	PARTIAL
query	chr1H	4325533	4331865	fadd1f88043d6233c3a465e8c4273b85	4329311	4331052	9fa69788607ae35ff1731484efcd37ce	NESTED_IN_PREV
query	chr1H	4455668	4616376	329e2434c885f92e76b5f3c4b90dfe8b	4521247	4521842	fc62e050f2e013bb5ec0a85a240b1455	NESTED_IN_PREV
query	chr1H	5077260	5177262	3927fccf6f465a392103364592d14ea0	5146921	5206068	6f76e7e50e22e8b5715ada2d6e3782f0	PARTIAL
query	chr1H	5146921	5206068	6f76e7e50e22e8b5715ada2d6e3782f0	5192367	5193692	21972f6cd5e33b52bc71e9e86f6f04f8	NESTED_IN_PREV
query	chr1H	5332282	5484344	e5bade52043e9fc1d4e65b48f362815f	5341121	5348287	cbde45f249ca1551deb9aa0da827143c	NESTED_IN_PREV
query	chr1H	5348288	5391942	110dbabc461e04ec8ae56fcd23cbe2a2	5385161	5898532	38da3bd2d3edbc4bff8050484c74336f	PARTIAL
query	chr1H	5385161	5898532	38da3bd2d3edbc4bff8050484c74336f	5396894	5401370	aecbc0095acada89a49d1db91805c146	NESTED_IN_PREV
query	chr1H	5639838	5723079	0c301668f771f5098c9b93822a3c4898	5683757	5684538	9c5a2a1baf5498ca6fae659ae3e2ed1b	NESTED_IN_PREV
query	chr1H	5841358	5946693	be92ac86ba8e70b069acf6e50b5b409e	5854516	6537751	3010dd2ac78f348664fd3190e2d5a80f	PARTIAL
query	chr1H	5854516	6537751	3010dd2ac78f348664fd3190e2d5a80f	5854518	6540906	74c3065b7d7b98f0d519074fa9d1c1e2	PARTIAL
query	chr1H	5854518	6540906	74c3065b7d7b98f0d519074fa9d1c1e2	5854518	6537751	b00e3684e01faa10f7228bf123c68366	NESTED_IN_PREV
query	chr1H	5854518	6537751	b00e3684e01faa10f7228bf123c68366	5946694	5951118	fd29bafa090262c36c459025c92cf89b	NESTED_IN_PREV
query	chr1H	5951119	6004044	deaf247bfac565e7e1122de2790fce6d	5960635	5977113	19bf9103fa63aa39f098653e7b0d695c	NESTED_IN_PREV
query	chr1H	6001194	6015192	9bc0287ebf82819f66a205ac06d5848c	6004045	6004926	d1dbf4c5f327a5d8285b799f70e03d68	NESTED_IN_PREV
query	chr1H	6004927	6052651	9a41aeae3fe9ca73c9bde66bf174c42c	6015193	6026177	99e371cb95171cd10f1061597ba75914	NESTED_IN_PREV
query	chr1H	6042413	6058458	f548c4282888d096cfd47e54c78358ee	6052652	6073281	0352aa5b760601eb5a2fbce0973d01b7	PARTIAL
query	chr1H	6052652	6073281	0352aa5b760601eb5a2fbce0973d01b7	6058459	6069884	8a5dbf20a01c175227c555ab77dd8ae6	NESTED_IN_PREV
query	chr1H	6270417	6320476	c7720b8961bd3a8a9019309d1efbf313	6275984	6276736	a596f277e874d6034021ac8c326adba3	NESTED_IN_PREV
query	chr1H	6289371	6400875	4d0d443ce144cafc3e60c4de1bed545b	6310845	6504836	a422acb836678bec6b2aafd2a158d19e	PARTIAL
query	chr1H	6354808	6549142	83b84a0f4f057018be7cc807db888e51	6401428	6452163	a59ab87727c47833c7eae82421856cc5	NESTED_IN_PREV
query	chr1H	6503234	6565468	a08f10a7f0efa534f1713215a7a4faa1	6504837	6505908	3242f3ca74753e5d850c39d8f87ca9a6	NESTED_IN_PREV
query	chr1H	6549143	6649760	1c1f2ebb211d192ac873e676257ab717	6555296	6561213	87e471f8db5187dacf2e2d2ba2cdf64d	NESTED_IN_PREV
query	chr1H	7704362	7720359	d39924abcea6c8039629d41e19913194	7715245	7744609	0e35004522317584906f05bc095cd91d	PARTIAL
query	chr1H	7715245	7744609	0e35004522317584906f05bc095cd91d	7720360	7720923	4d0ca943ed6746b51ea80ca6ec79636c	NESTED_IN_PREV
query	chr1H	7772976	7785311	ab0c902b26c11bb2fcb2a6c90cb99714	7774493	7799892	bb567257654799293ae484ecc15280ab	PARTIAL
query	chr1H	7774493	7799892	bb567257654799293ae484ecc15280ab	7780854	7781747	44d0c6e17f46076142a1329caaded68a	NESTED_IN_PREV
query	chr1H	7801661	7894949	14eb80f93d476b4a17ea7b68c66c3c16	7838650	7842600	af9bc013ad95d9a5a6f85d623929cf93	NESTED_IN_PREV
query	chr1H	7964468	7998076	162d39b13f565e9095f993a46fe30eb7	7981239	7985845	c6f447cc89f242d5ec478f0e4a98eafd	NESTED_IN_PREV
query	chr1H	7987423	8015454	396618c1cc729b7480a2ec5c0677476c	7998076	8064672	08e73c9a5b42771e21cda38c090aa0a1	PARTIAL
query	chr1H	7998076	8064672	08e73c9a5b42771e21cda38c090aa0a1	8009132	8017177	e86d1576b5b29a164d584243cc9d01ae	NESTED_IN_PREV
query	chr1H	8009132	8017177	e86d1576b5b29a164d584243cc9d01ae	8015455	8050870	279c7f6e32ef4bbb271a550f59439147	PARTIAL
query	chr1H	8015455	8050870	279c7f6e32ef4bbb271a550f59439147	8017178	8020960	d4472f4530e7a958fb772c62680f0af2	NESTED_IN_PREV
query	chr1H	8020961	8066096	8182da8ac442300a834901ab7ec2191c	8028406	8030611	f65887348588697249aae5076a86eadd	NESTED_IN_PREV
query	chr1H	8030612	8219498	3e060b297eece4908dd980463e4cbd09	8050871	8261602	cfd209d0560e96ad856381eabe043aa0	PARTIAL
query	chr1H	8050871	8261602	cfd209d0560e96ad856381eabe043aa0	8067758	8070304	c4500cb5ffa5335b1b2e70efbf8a7929	NESTED_IN_PREV
query	chr1H	8067758	8070304	c4500cb5ffa5335b1b2e70efbf8a7929	8068604	8127159	76473b4fd09a477a5c298c705d880639	PARTIAL
query	chr1H	8068604	8127159	76473b4fd09a477a5c298c705d880639	8070305	8072331	87855ae50213688292f5a62e37c4edcf	NESTED_IN_PREV
query	chr1H	8070305	8072331	87855ae50213688292f5a62e37c4edcf	8072167	8110170	3300c5953b8e81089dac63f13ab0f66b	PARTIAL
query	chr1H	8072167	8110170	3300c5953b8e81089dac63f13ab0f66b	8072332	8077427	021c40d325ad7a7f967fc530066f81a4	NESTED_IN_PREV
query	chr1H	8103341	8124895	e709f14671b014ce0782080acce20825	8103626	8104860	d9ec05e75f5d72432ff317f1447cd44e	NESTED_IN_PREV
query	chr1H	8126153	8129880	6de3bdabdb19540f6ae826e80a2c54c4	8127159	8144141	fe34690f00e835f60bde681d75b1da66	PARTIAL
query	chr1H	8127159	8144141	fe34690f00e835f60bde681d75b1da66	8129881	8132479	3b81a12d64e18edecd6799425d9772ce	NESTED_IN_PREV
query	chr1H	8132480	8161684	a440861305b240c62f1f037dbfa81e45	8144142	8147836	bad7c7936c91139e609fe6de85b70ad8	NESTED_IN_PREV
query	chr1H	8147837	8186018	db317dc2966d5edd8d5de6a4666be0c7	8168581	8179737	4332c505df5670bdf4f014f4c1b95ca4	NESTED_IN_PREV
query	chr1H	8575196	8733723	5279c66b3518b4458efe9297e31a1cc2	8625553	8626504	9a51e11bf0aacb0d6f3ad4246de60c22	NESTED_IN_PREV
query	chr1H	8626505	8661861	c58f0642dfacdf15b03ca7e651fde245	8653744	8659671	d20e859ef504fa8fcb51ca65c340c5be	NESTED_IN_PREV
query	chr1H	8660963	8663890	7bdaf182900f61bd17578255fbda2dfe	8661862	8675182	fe94be341850efec4aa2e0898ec2e6a0	PARTIAL
query	chr1H	8661862	8675182	fe94be341850efec4aa2e0898ec2e6a0	8663891	8685614	5c0e6df6e6d805c74ec50b6298d5f9e7	PARTIAL
query	chr1H	8735846	8783054	fa320f016e4740173399e166f292fe26	8779762	8915021	dfa0c4212819ca3908c62763097a8266	PARTIAL
query	chr1H	9296671	9595809	330d22b229fb822038a51af3229ca1cd	9346285	9351635	52d91434da69e83e993a852acf2f26f8	NESTED_IN_PREV
query	chr1H	9444908	9557070	5a77f64bdb4e809babc0fff1d6fda39c	9508326	9511930	8036cdc1289bc53b8e1060a13331dd83	NESTED_IN_PREV
query	chr1H	9545662	9558875	8a3e413b122ece7c604c7057d96ab3b2	9549607	9561940	e37d1cc79652d9d4fb40d4d58e4736e9	PARTIAL
query	chr1H	9549607	9561940	e37d1cc79652d9d4fb40d4d58e4736e9	9557070	9605835	b776a97606f84ac0a1510e135f458917	PARTIAL
query	chr1H	9557070	9605835	b776a97606f84ac0a1510e135f458917	9561941	9565166	40ab7ec7a8e61a9798635a031aff4004	NESTED_IN_PREV
query	chr1H	9561941	9565166	40ab7ec7a8e61a9798635a031aff4004	9562481	9626999	bf85c09306575f74f6c51dde6cc1f993	PARTIAL
query	chr1H	9562481	9626999	bf85c09306575f74f6c51dde6cc1f993	9605836	9606622	4d26cbdaeee82d6a8febe58ed311e04d	NESTED_IN_PREV
query	chr1H	9621210	9705768	ea7792b4831db87855284d01870f664d	9627000	9629172	f61c6d7d14a06a46928cd01bc2528625	NESTED_IN_PREV
query	chr1H	9629173	9727566	890f2f5c13645222d5f794363e602759	9695544	9705628	3826f921a8dc6d7c31d2c9885bf35ee9	NESTED_IN_PREV
query	chr1H	9722372	9727892	896c1b07786d3bcfd118bde09b95cb06	9727567	9731172	c3bd0f0dc668c9e7f243d362958fd0ea	PARTIAL
query	chr1H	9727567	9731172	c3bd0f0dc668c9e7f243d362958fd0ea	9727893	9730518	43dce8e5fb366f7acd3844f825c77f3d	NESTED_IN_PREV
query	chr1H	9748371	9798032	65aa8642b831b5d074c5dc6f243591c2	9796086	9796700	809fcaaac59023d8936bb36628816ff8	NESTED_IN_PREV
query	chr1H	9908967	10302245	e00c107ef02b98aebcdb0accc55f3072	9935823	9937611	476e2524fd26bd161456ec4f007424ab	NESTED_IN_PREV
query	chr1H	10068163	10136522	c9a34af269aab623e621737ea0e292cc	10080406	10096889	24f50fb495121e8433c9eaf9f570804f	NESTED_IN_PREV
query	chr1H	10165908	10196731	6e59e7fb73079f7f336c37a8670c062a	10186507	10189374	dbb61b69d6bdfe36d3c1833060bfefaa	NESTED_IN_PREV
query	chr1H	10195903	10248106	8f049c95af6a32582e04aadd00682799	10196732	10198141	5ebf3ddcde764e8ad3cea899a6700538	NESTED_IN_PREV
query	chr1H	11191549	11201933	58cded8e31983bece33f6270bd3f0012	11197712	11199934	c826b8934d4f5f7d4fa3e92d4014efb4	NESTED_IN_PREV
query	chr1H	11200826	11202180	3fd1b8b6725c448c2cfaf80df02a32d0	11201934	11206003	437379bd7dbc4f477d4ced7c4ae38fd5	PARTIAL
query	chr1H	11206004	11274007	627eee0b73e20dec365d789d6da730d0	11228810	11229913	a1b4704f89e9e7ab972db4c696bd18cb	NESTED_IN_PREV
query	chr1H	11237832	11250307	df3efcca95e177fb40328a3b6142475e	11244471	11248402	5773bbae9e5354688762e9f7f5480510	NESTED_IN_PREV
query	chr1H	11381112	11389629	4e1f99d47c97991364e0a6d779169735	11383350	11385996	0622d7430ea17782890fbf3d40791f66	NESTED_IN_PREV
query	chr1H	11460610	11476669	abd46b9035d267a32f94a46b9315f9df	11473145	11475188	53697d49511a4ab9ac2c34ca9957bd8a	NESTED_IN_PREV
query	chr1H	11478509	11522432	cd0ffec62a3258ff588235013f7b8c61	11494736	11495674	d17c81a20ef3f21ea7e8229d4b3c2556	NESTED_IN_PREV
query	chr1H	11503547	11685633	8c1006d9c8217e0067fed282df40a0b7	11508208	11509931	b6e98007769e3247692e7ed63045f157	NESTED_IN_PREV
query	chr1H	11529287	11565968	f50b89da37c1ca1bc8e4b4313210836e	11544250	11548900	6b46977a16aea2aa49c572f8a727a76e	NESTED_IN_PREV
query	chr1H	12074679	12099716	5ede8708ac46cd7fe59ef11c89ff4f78	12083762	12127896	d7ae3112e57fcbb461708e7dc12771d3	PARTIAL
query	chr1H	12083762	12127896	d7ae3112e57fcbb461708e7dc12771d3	12084918	12085630	0fe831cdafe105c731de8a54fa4d17e6	NESTED_IN_PREV
query	chr1H	12127897	12224953	297f39bf523753b48678bdff82022067	12139794	12140537	a45fe43b1a8c645e08ce91e7d9e52c8c	NESTED_IN_PREV
query	chr1H	12576256	12655288	93ce9d691ec0735ef45d19e59dab3421	12577489	12582163	5f26f28f6d6f69021dcd13ddf7e7323f	NESTED_IN_PREV
query	chr1H	13191607	13276838	b365102cedff9e66322f4e5472df4f8a	13210839	13340782	6b09d7ba239ab9f0ef5c157343a87e00	PARTIAL
query	chr1H	13210839	13340782	6b09d7ba239ab9f0ef5c157343a87e00	13276839	13285032	8d60a371cd7756a76681a8766a773d34	NESTED_IN_PREV
query	chr1H	13285033	13383277	db06d20c91a589921d28303cbaaea726	13370707	13373645	f4d1c636ed46fbaf0518c0dd310bb969	NESTED_IN_PREV
query	chr1H	13388666	13421140	1ded74853f28c4ee4806389196c3e1ff	13396680	13399757	365bf74ce24a6f4c8e832395f8524816	NESTED_IN_PREV
query	chr1H	13405348	13436773	180483c8349e59c356d52660265e60dd	13428306	13442798	4ac4e1b1ea425f046e1ddaf8f0013625	PARTIAL
query	chr1H	13428306	13442798	4ac4e1b1ea425f046e1ddaf8f0013625	13436774	13440549	b072076b90102df923a3240e1e9659fb	NESTED_IN_PREV
query	chr1H	13440550	13639671	8c79d9365a5c2147273c12ad8b0f6ada	13443543	13571422	56c11cb3d9378fcec0e526f496ffb715	NESTED_IN_PREV
query	chr1H	13443543	13571422	56c11cb3d9378fcec0e526f496ffb715	13494636	13498572	29017bfcbc3fae1e5e1a776d6a44b58f	NESTED_IN_PREV
query	chr1H	13601866	13620164	f8ded0efb7d62d003bf50022aa05c518	13602739	13605720	8731b06d1a7af0db65d787fce92bcb52	NESTED_IN_PREV
query	chr1H	13637356	13640545	9fde54a8d0ff7fb284f3d1e31ee4cafa	13639672	13641597	e96fee5855c88e556ec517f94e5dd685	PARTIAL
query	chr1H	13656760	13740678	0f9a9e51094ea59190de196150d3f0a3	13701483	13702256	e8bf5d3c31f3f2d34d8d898daf5dc1e4	NESTED_IN_PREV
query	chr1H	13725279	13761546	df064c3cd1c267d522b2f0fec0b9da2e	13738116	13746767	afe30c92e6498984dcc99001f3f0d5e9	NESTED_IN_PREV
query	chr1H	13811260	13963560	7490284926eb0735861b9c2300ef7bf4	13825436	13828362	65c2e8a84400692b9785ba19dccce4b4	NESTED_IN_PREV
query	chr1H	13849615	13911422	722f544d4e16ed1c38f007b450caaa22	13874362	13880794	be5b65d3ab5d918779c07069f8a2bb2a	NESTED_IN_PREV
query	chr1H	14877303	14992933	3bd3c8903aa641223d99db7e9c4a6f8a	14966710	14972698	c4150efc67de32103dcd5cc101dfc1bc	NESTED_IN_PREV
query	chr1H	14976539	15095728	32d30748104fe01c91bca0178c8b4950	14994204	14998824	678b5fa2ba77b9a715d92e23d8790e13	NESTED_IN_PREV
query	chr1H	14994204	14998824	678b5fa2ba77b9a715d92e23d8790e13	14998585	14999775	d9d8259d5ad9dc2ee8d7bcd9614a2b0b	PARTIAL
query	chr1H	15112637	15161517	6753dfd7e89ad6b00919eea0faa06dd0	15114252	15231373	06c941917220ed2acc47a1e7dc5ab39b	PARTIAL
query	chr1H	15114252	15231373	06c941917220ed2acc47a1e7dc5ab39b	15125111	15126628	ff94dd2d3c207970cab1655ecdda8eaa	NESTED_IN_PREV
query	chr1H	15259732	15320032	06f0234cd73d78a54950c74ac815ebdf	15299931	15483090	24c47c8bb2a66edf23f77a099f08e91a	PARTIAL
query	chr1H	15299931	15483090	24c47c8bb2a66edf23f77a099f08e91a	15311435	15312846	1eee45258f1e935c699c896a0e6af134	NESTED_IN_PREV
query	chr1H	15381885	15499778	34e3e2e1222eeed0db4313aeea23499d	15400638	15402772	ec694d22ee8eef5e5584b7b968252f48	NESTED_IN_PREV
query	chr1H	15470145	15808515	10072d52377d5df55070200e92106889	15483091	15488442	7253a5aacca556642be98446ee724b91	NESTED_IN_PREV
query	chr1H	15488814	15571691	c3d8712895834464345c70fd5dc770ce	15493576	15499257	9f1cd3f7cd2216b627fe1b36d81c1615	NESTED_IN_PREV
query	chr1H	15557533	15621794	8f8a1c18bcf404fc7b202e9794369187	15573827	15633550	9011dd4ca9e7d15ebf8cb2a0577af1bf	PARTIAL
query	chr1H	15573827	15633550	9011dd4ca9e7d15ebf8cb2a0577af1bf	15623207	15654938	43ddc3df2c34513cd40de742262a4d0b	PARTIAL
query	chr1H	15623207	15654938	43ddc3df2c34513cd40de742262a4d0b	15637634	15664628	e77030d25cd6e884460664f9b81f2839	PARTIAL
query	chr1H	15637634	15664628	e77030d25cd6e884460664f9b81f2839	15654938	15681397	aac63ae095a102132e375b8ba1a4dbd4	PARTIAL
query	chr1H	15654938	15681397	aac63ae095a102132e375b8ba1a4dbd4	15670311	15682392	db2fe36a582d996f2ad8e813b52f012e	PARTIAL
query	chr1H	15670311	15682392	db2fe36a582d996f2ad8e813b52f012e	15681398	15732141	1933a9f7b3e87c6908183725429f4ed6	PARTIAL
query	chr1H	15681398	15732141	1933a9f7b3e87c6908183725429f4ed6	15682393	15691614	6c9fe776bc4f32e9855b227d8d59cbf7	NESTED_IN_PREV
query	chr1H	15691615	15813096	1db4d35f094079363e0f014ffec15dbe	15732812	15765064	ff2dc16f1fd815b0477d51c90724f306	NESTED_IN_PREV
query	chr1H	15765065	16070938	b250bb9f225e9e8e4eeabaf2dc187d2f	15765188	15767760	c29fec14cec3d445b11a0229ae86e6e0	NESTED_IN_PREV
query	chr1H	16536691	16680524	b2b67ee719b8855c693d392d8d3259e5	16656547	16662866	00e073fb890f4b41cf867d64977a4cf9	NESTED_IN_PREV
query	chr1H	16680524	17074609	1d95857e2501131463bd13b90ca660dc	16708953	16777706	38b41603ff2b7c00e7d5fa4edb494f91	NESTED_IN_PREV
query	chr1H	16708953	16777706	38b41603ff2b7c00e7d5fa4edb494f91	16755424	16771152	ec3887321b80aa3caa5b330dbb759537	NESTED_IN_PREV
query	chr1H	16771153	16779812	649cee22005a1393928e26b06389e304	16777707	16780460	f5982ec8825819cfdbe407b14c0585cf	PARTIAL
query	chr1H	16777707	16780460	f5982ec8825819cfdbe407b14c0585cf	16779813	16866468	aeafe2202a81b5e0873650f20f943103	PARTIAL
query	chr1H	16779813	16866468	aeafe2202a81b5e0873650f20f943103	16780461	17071031	8b2db8b75d55101a0e3bfbc574aac2b7	PARTIAL
query	chr1H	16780461	17071031	8b2db8b75d55101a0e3bfbc574aac2b7	16866469	16870348	adb45bf680721a9dea5cd09407aa00f8	NESTED_IN_PREV
query	chr1H	16927517	17142164	3337d2fbfe4b59d2442d01fa112eb120	17071032	17072262	56fa537419899fac62db556bdddf7ddf	NESTED_IN_PREV
query	chr1H	17074532	17087015	39d514afe902948460b429fbaf7afe65	17074610	17076413	53737dd937a55b8f22bfea0c18db7d82	NESTED_IN_PREV
query	chr1H	17088367	17104187	64aee0972b76fff301ece596e43d25ff	17101967	17121326	42191eead916967613beb334a58145f8	PARTIAL
query	chr1H	17101967	17121326	42191eead916967613beb334a58145f8	17104188	17107918	288a477234ad4ff314319019565ad5cd	NESTED_IN_PREV
query	chr1H	17110948	17182130	b84bfd1d3e86cb66bfdd27237cdac9c6	17121327	17910176	b529e376f0fe105c0016114f776940de	PARTIAL
query	chr1H	17121327	17910176	b529e376f0fe105c0016114f776940de	17182130	17185088	92f999e7e19a1f6ce3ee0661e42a81e7	NESTED_IN_PREV
query	chr1H	17911558	18067418	e13ad5b89b4aa9f6c3aafca1b7303097	17922493	18074538	1d34fd7bebc11585dac4a7c6e1d97bb4	PARTIAL
query	chr1H	17922493	18074538	1d34fd7bebc11585dac4a7c6e1d97bb4	17939337	17940717	ae551abe184cd54625d5a4ae292526cf	NESTED_IN_PREV
query	chr1H	18067205	18094700	0b9331f8dcdb20a83764fa54c1df0da9	18074539	18087825	984c936cc620d5d2c7a4e2df1a16f670	NESTED_IN_PREV
query	chr1H	18074539	18087825	984c936cc620d5d2c7a4e2df1a16f670	18082965	18338182	2af892e9ad9827b6aba788df23bbbf2b	PARTIAL
query	chr1H	18082965	18338182	2af892e9ad9827b6aba788df23bbbf2b	18087826	18088499	8582ab64e46a4f05457ec238d7d98fd4	NESTED_IN_PREV
query	chr1H	18088500	18210932	3ca147ba5441cdb8e41549e0cd2cfd12	18094701	18099648	3091a1578be8d6da87b1a3280050e52b	NESTED_IN_PREV
query	chr1H	18143544	18716149	051618970f292be8baeb8a20405981a9	18173489	18176194	057783ca1f9cbbe2eb50795c48282453	NESTED_IN_PREV
query	chr1H	18356138	18480726	4cb465c103e4f61fbca539de958e9069	18393146	18394218	ef82a93aa84e298c805c3546c9999f98	NESTED_IN_PREV
query	chr1H	18481324	18529333	f6a6b1ddf38893d1bf3c900be2c578de	18519369	18520754	45af804627aa6378e25f6b27be55ecb0	NESTED_IN_PREV
query	chr1H	18695301	18730018	582455cc1cc85eb68ad014cfe045d357	18718856	18721406	7ebb4bfbb201ebb3f0cf52bc77fd8f6d	NESTED_IN_PREV
query	chr1H	18721407	18793713	fb3238a2cae8b1c35a6a58337ab3800b	18730019	18736951	5b5bcae668d1d19b5ff9cd89223918ef	NESTED_IN_PREV
query	chr1H	18730019	18736951	5b5bcae668d1d19b5ff9cd89223918ef	18732997	18743225	13136ab875dda6c4fd5e12bb4eb73861	PARTIAL
query	chr1H	18732997	18743225	13136ab875dda6c4fd5e12bb4eb73861	18736952	18738968	c54f0a9f1fe0ff0d9e936aba8b5e9ccb	NESTED_IN_PREV
query	chr1H	18741330	18745912	143cfce75da1767a58ebc55201dcf4e8	18743226	18745771	665375aa599c804cd21b5e8b4108aedd	NESTED_IN_PREV
query	chr1H	18757427	18856999	1c2d9bb6050f8c1a92a6147dcf26c4c8	18762835	18766898	cd2744262f25468308266411d3af6876	NESTED_IN_PREV
query	chr1H	18803961	18935808	e9e7eff52f9c07290184486cec34224e	18916767	18922078	d86a8f2ecc6bc8a18abd26bfd1f35dad	NESTED_IN_PREV
query	chr1H	18922079	19018434	8a0960d4fe09ca80dd8543d6af8d2268	18937504	18940989	6feb499a7613fd8027b6e2d5d9ee578d	NESTED_IN_PREV
query	chr1H	18997775	19027069	be9b7f354e212d528d6f940d312fa823	19008789	19019327	46df90aa4e8be7ee28bfbd8b5adea3ed	NESTED_IN_PREV
query	chr1H	19008789	19019327	46df90aa4e8be7ee28bfbd8b5adea3ed	19018435	19023922	8279d2d8e4195c2937aa2c71087b6934	PARTIAL
query	chr1H	19027069	19357361	4f58d01a640a721e84f0c7ed55503c27	19027972	19033385	cd60d2ed12bda2b348a9e9d556d39b6a	NESTED_IN_PREV
query	chr1H	19163093	19681006	3936208c1367a94748a605166c95f47c	19357361	19382415	ae778227b23e85d04de42855e6847d83	NESTED_IN_PREV
query	chr1H	19730180	20072165	1a54f8cfe5635b419e748f4e274b69e8	19837883	19864712	de96e9b9449d392fd0dfb45f800e3712	NESTED_IN_PREV
query	chr1H	19865418	19983232	41402411c6d62b890b30e6ab10584007	19885325	19885511	34bb01f8dd92bba5aafcba6a0fe31e03	NESTED_IN_PREV
query	chr1H	19941964	19990167	ff81f3bfbce7fa8b4d0bd0295c3d9e03	19983233	20108449	95a5d40761b9399c3515428f1d5e58ee	PARTIAL
query	chr1H	19983233	20108449	95a5d40761b9399c3515428f1d5e58ee	20000507	20004033	b4ae8228928b07f95680d7dc2af99e64	NESTED_IN_PREV
query	chr1H	20134705	20382139	418f742faba74c0794089d9fa071d994	20142369	20153061	132bbb77f3e8d1997a8af80a0bcca222	NESTED_IN_PREV
query	chr1H	20387165	20454436	d1ed00eb367bad17d86871589a0d5aef	20389417	20391383	b15774c98a10e929b389012559176eae	NESTED_IN_PREV
query	chr1H	22070049	22346923	0ae20e74fb9560a2499745273f440e91	22091993	22092613	3116facd0ac8e427dcd2cfd7f86bbac5	NESTED_IN_PREV
query	chr1H	23211413	23217489	b80d78b8e44e25040cd733350e55a1e4	23217426	23224447	687220e87af62e892a0edab1625c83a6	PARTIAL
query	chr1H	23366039	23916786	7047610667ffeddb4f165501e19cd663	23510157	23515678	62cc6a135cc4247857e3bcb37d8347b6	NESTED_IN_PREV
